asset_name,maintenance_state,technical_lifespan
Krombrug,5. Poor,2015
Twickelbrug,4. Moderate,2015
Harlingenbrug,5. Poor,2019
Jaap Nippadbrug,4. Moderate,2020
Overheen,4. Moderate,2020
Giethoornbrug,5. Poor,2020
Tikkertjebrug,5. Poor,2021
Duckdalfbrug,Zeer5. Poor,2021
Wijde Blikbrug,4. Moderate,2021
Manifestatiebrug,5. Poor,2022
Voetbalbrug,5. Poor,2022
Bokspringbrug,4. Moderate,2022
Verstoppertjebrug,5. Poor,2022
Hoepelbrug,4. Moderate,2022
Pijnackerbrug,4. Moderate,2022
1e Blanchardbrug,4. Moderate,2023
Touwspringbrug,4. Moderate,2023
Rooseveltbrug,4. Moderate,2023
Utopiabrug,4. Moderate,2024
Grote Brekkenbrug,4. Moderate,2025
Cruquiusbrug,Zeer5. Poor,2026
Schipbeekbrug,4. Moderate,2026
San Franciscobrug,4. Moderate,2026
Johnsonbrug,4. Moderate,2029
Zwaanbrug,4. Moderate,2034
Prinsenbrug,4. Moderate,2035
Knikkerbrug,4. Moderate,2035
Kluutbrug,4. Moderate,2035
Fongersbrug,4. Moderate,2037
Ebenezer Howardbrug,5. Poor,2038
Groene Kadebrug,4. Moderate,2038
L. Wijersbrug,5. Poor,2039
Jan Postmabrug,5. Poor,2041
Daniel Stalpaertbrug,4. Moderate,2046
Paradijsvogelbrug,4. Moderate,2046
No Name,4. Moderate,2063
Tuinkruidenbrug,5. Poor,2067
Tollenbrug,5. Poor,2067
Leeghwatersluisbrug,4. Moderate,2067
Leeghwaterbrug,5. Poor,2067
No Name,4. Moderate,2089
No Name,4. Moderate,2090
No Name,4. Moderate,2090
Skatebrug,4. Moderate,2091
Volksdanspoort,4. Moderate,2100
Salsapoort,4. Moderate,2100
Jean Desmetpoort,4. Moderate,2100
Hal Roachpoort,4. Moderate,2100
Vaarttunnelpoort,4. Moderate,2100
John Gieldgutpoort,4. Moderate,2100
